sample1	sample2	t_d
K128-R73	K128-R65	0.2441531863828852
K128-R11	K128-R65	0.312218902573013
K128-R11	K128-R73	0.45557038507302827
K128-R65	K128-R11	0.312218902573013
K128-R65	K128-R73	0.2441531863828852
K128-R73	K128-R11	0.45557038507302827
K128-R73	K128-R65	0.2441531863828852
K136-R2	K136-R5	0.5718719822787838
K136-R5	K136-R2	0.5718719822787838
K136-R2	K136-R5	0.5718719822787838
K136-R5	K136-R2	0.5718719822787838
K143-R2	K143_R1	0.10303181352556978
K143_R1	K143-R2	0.10303181352556978
K143-R2	K143_R1	0.10303181352556978
K143_R1	K143-R2	0.10303181352556978
K145-R2	K145_R5	0.12647411173484147
K145_R5	K145-R2	0.12647411173484147
K145-R2	K145_R5	0.12647411173484147
K145_R5	K145-R2	0.12647411173484147
K150-R2	K150-R3	0.47132940468414164
K150-R2	K150-R4	0.007386785161633602
K150-R3	K150-R2	0.47132940468414164
K150-R3	K150-R4	0.4718471731355607
K150-R4	K150-R2	0.007386785161633602
K150-R4	K150-R3	0.4718471731355607
K150-R2	K150-R3	0.47132940468414164
K150-R2	K150-R4	0.007386785161633602
K150-R3	K150-R2	0.47132940468414164
K150-R3	K150-R4	0.4718471731355607
K150-R4	K150-R2	0.007386785161633602
K150-R4	K150-R3	0.4718471731355607
K153-R54	K153-R55	0.4984447051143047
K153-R54	K153-R59	0.8465218515605148
K153-R54	K153_R58	0.641025602123495
K153-R55	K153-R54	0.4984447051143047
K153-R55	K153-R59	0.7497368684479917
K153-R55	K153_R58	0.5497971890891995
K153-R59	K153-R54	0.8465218515605148
K153-R59	K153-R55	0.7497368684479917
K153-R59	K153_R58	0.5856890844751657
K153_R58	K153-R54	0.641025602123495
K153_R58	K153-R55	0.5497971890891995
K153_R58	K153-R59	0.5856890844751657
K153-R54	K153-R55	0.4984447051143047
K153-R54	K153-R59	0.8465218515605148
K153-R54	K153_R58	0.641025602123495
K153-R55	K153-R54	0.4984447051143047
K153-R55	K153-R59	0.7497368684479917
K153-R55	K153_R58	0.5497971890891995
K153-R59	K153-R54	0.8465218515605148
K153-R59	K153-R55	0.7497368684479917
K153-R59	K153_R58	0.5856890844751657
K153_R26	K153-R54	0.6565933285922165
K153_R26	K153-R55	0.5712102745139689
K153_R26	K153-R59	0.3320546927312381
K153_R26	K153_R58	0.6218238385363921
K153_R4	K153-R54	0.685051597251642
K153_R4	K153-R55	0.6191549976706867
K153_R4	K153-R59	0.28359318975134407
K153_R4	K153_R58	0.5800539867932212
K153_R58	K153-R54	0.641025602123495
K153_R58	K153-R55	0.5497971890891995
K153_R58	K153-R59	0.5856890844751657
K158-R2	K158-R4	0.07481793529301228
K158-R4	K158-R2	0.07481793529301228
K158-R2	K158-R4	0.07481793529301228
K158-R4	K158-R2	0.07481793529301228
K162-R2	K162-R6	0.21970686438427178
K162-R6	K162-R2	0.21970686438427178
K162-R2	K162-R6	0.21970686438427178
K162-R6	K162-R2	0.21970686438427178
K163-R10	K163-R17	0.02299026695726092
K163-R10	K163-R31	0.3523766845160373
K163-R10	K163-R4	0.0770175569216136
K163-R17	K163-R10	0.02299026695726092
K163-R17	K163-R31	0.3603090415548187
K163-R17	K163-R4	0.08514600859236632
K163-R31	K163-R10	0.3523766845160373
K163-R31	K163-R17	0.3603090415548187
K163-R31	K163-R4	0.3578376890354893
K163-R4	K163-R10	0.0770175569216136
