herv	HR	p_value
trans007de961699127fc	0.834824602429372	0.10860859559335143
trans008b0ca42e16bae1	0.8663040690101618	0.444253927184314
trans00eb279b4150fed2	0.9615551957844148	0.7530723858724133
trans0141e3208a398c3b	0.9229535482613389	0.6705898375207842
trans0170c9e71eaabf13	0.9384800499617261	0.8478603784162583
trans0222e6efc2c6e735	0.8374013784414781	0.1972928923362057
trans0234699cdbdd4ddd	0.9457295985862774	0.832428231501596
trans02da29470ce752b0	0.8367479707566009	0.10476535165680949
trans033b8069d66519dc	1.7460070661236204	0.47984881758773795
trans034a403758dbcd77	2.270623664973703	0.0012697749546518597
trans0363c41782f400c3	1.5141881270762132	0.0458960157881132
trans037aed148866f2df	1.0111250446492381	0.9173433848919789
trans03aa0c2311871900	0.8429975372618613	0.22159901496377657
trans03c554bc64386317	1.0170081894148812	0.9057953558639374
trans046c84e6e71a5602	0.7174170666250232	0.06827505181587512
trans04bac9f2d3d472f4	0.5068084897584978	0.003935665489652503
trans05b0924469c3296b	1.4898747251441127	0.0395372325307645
trans05f6b15fe1afd886	0.8824715022206826	0.27591386767402803
trans0600a42bd375e312	1.5860065624401987	0.18346519724350144
trans060a9f22fe4597de	1.1558327798678911	0.4509556361690408
trans0617f13857062d55	1.2479835088907991	0.1641765580474597
trans07b431970ad730e3	0.8502424156089667	0.42758105800333013
trans0a053d1f5c70d94e	1.0051416447295758	0.9907150469907343
trans0a9cda3077a02a79	0.9556952994593901	0.6914382737295414
trans0ac9571815ee741d	0.7185145786547197	0.031774230430826146
trans0aec9079e249bed8	0.9459235292559112	0.7148882648567713
trans0b1c32bdf8501fd7	0.7962251106679286	0.026304976513852572
trans0b639842a4f1af9e	1.1947566215920014	0.42895169172262815
trans0bba9ebcf68e9288	1.2395067812476113	0.3585034817833091
trans0bde836f7f84d193	1.4589736891989311	0.40068697109052537
trans0c96ce77285fb9af	0.9856274696502287	0.8914997676613533
trans0cbab65b24cac08b	0.8793435750304137	0.15434344533872932
trans0eea881ecfea4311	0.9697757392779894	0.836206665783373
trans1128887d9d54ee2f	1.1108938537178625	0.39207687179764394
trans11385bb804f44cf8	0.9434977116185074	0.7276225113653335
trans1251052fd8862dc6	1.0414815963929036	0.8786387886636784
trans12b28f0ac30834d1	0.20777057814529415	0.4312701491103434
trans12ff73ec11df5166	1.9160478578737747	0.013315533515127069
trans1308e5f927cde225	1.006168361815585	0.9784260421171542
trans1445d5e69049a7a8	1.089537758661115	0.661630358758109
trans14c25b26017f3c57	1.2492008664869698	0.41478708296897165
trans14ece0e77c4865ae	1.0433551482207548	0.792018036979251
trans14fc6d5194ed0774	0.8939713379676996	0.19535128343634994
trans159739e8fbf170ae	0.903483246659094	0.5487104987184896
trans15bf4eec622d54e3	0.8461252006415427	0.07604172099293005
trans15fdad9b65932c27	1.0517695180338926	0.8051594996933092
trans161444d8518c8f3d	1.0010920802390493	0.9966296333143492
trans16c6a88edd7e550a	1.7570244721507708	0.006085009435775395
trans16cb9e3d5da28be8	1.438434474608756	0.19640107512004418
trans1717baa28e0a0256	0.7727935248361717	0.00908471086473181
trans17654261eb879319	0.8448851319595162	0.2514206677080587
trans1768741dd95a3f1c	1.081096520726021	0.7035315945428069
trans17ea905b6ee5ad9f	0.9207890977385582	0.42376225049291766
trans18e3a12c122fd76f	0.9932558117349435	0.9864476049769423
trans19670e77ce7d4674	1.101563773900673	0.6262735072246076
trans19b1acbca0746edd	0.785518516047481	0.07523945398254411
trans1aaae98497128198	1.0945094551366539	0.6766980968125668
trans1ad0d1c9cd8e5656	1.0126248850553992	0.9266226189055744
trans1b512593037999bc	1.081767596326887	0.8242279396249635
trans1b5f730bf9e5cc07	1.1696303978183182	0.2159743922536677
trans1cdc396b1077e19a	0.7387787253546377	0.13161760921094534
trans1de1e3725b5c16c1	1.0362915923766782	0.7386752499266772
trans1e405d1c71656956	1.0810676865152633	0.23495052089601268
trans1fc371228a6b9db8	0.8027465112996964	0.28653553108101865
trans20145ef1c2c8603b	0.4384863670688067	0.04935998634126356
trans20b8a4a069f540b5	0.9104377373411838	0.571554593544898
trans212eb4af55936d51	0.8305940422905501	0.09822414725474549
trans219083be146088a6	1.039479995444873	0.8518505939809463
trans21c132055da8fdf3	0.9485812874158804	0.8839330321338165
trans22d47719a5c336d7	0.8156196610007141	0.012691734314377378
trans2398ea59b0477df6	0.8335477472801964	0.288203847589187
trans2448a60a45056653	1.0990354552274624	0.60685032979129
trans24fa6283de30568a	1.0632989112082791	0.7219765977007399
trans2582905b59207030	0.9221969088455616	0.6535285337731304
trans25ad546ebf2056f2	1.443512044527114	0.20187748658284038
trans25c460c7b3d2e9d7	0.9733066492312523	0.6850147763806377
trans25e8caa57752722a	1.032269261273464	0.7818719743893641
trans25e9bbf991830922	0.6527296278153397	0.14928065971657842
trans25ee769785a920be	1.0414575616484303	0.7897206888116205
trans25f747e68373be5a	0.9690907082923212	0.8164191407539206
trans273c6c12aeb67842	1.3773008200469632	0.1532304562228699
trans2785fe15df551272	1.0131889279275401	0.9017130389085166
trans27b20de2288f8562	0.8294295388285733	0.1756183848248769
trans27b77e42385683d5	1.1275317661724458	0.3064811527588844
trans28364d3a2d3629d9	0.9770123709580691	0.9276159182938596
trans2885315a14f41b97	1.0395072711252908	0.8726352619236958
trans296783d2e8a5afcd	1.1120670974223172	0.14087459664530644
trans29fa75a2f9189d8d	0.8070485487078505	0.1901873434364896
trans2add345cbdb281b1	0.6747725996073912	0.17550623213464533
trans2b9001244e654688	0.9910478533777719	0.9242438559070318
trans2b99c0afff41b4ae	0.933882550781378	0.6211558177095587
trans2bcc4fed15bdd486	0.9502346083306359	0.6369544294988922
trans2c937382b3f7a266	0.929284794768565	0.5540249328150021
trans2cbca579c257de8d	1.2116732822011655	0.43152664638715726
trans2d1930da2e62f90e	2.144252736325003	0.048925004258436114
trans2e0a3765ba6818dc	0.912800758503944	0.2883508142118385
trans2e1609bcccacc2eb	0.7995933054207616	0.19425752498788357
trans2e70c21bbcbc8dd2	0.9962595784983402	0.9597677110628274
trans2f7cc371e70e6a9d	0.8902279540024574	0.23082685872564845
trans2fbeb243195fb377	0.8986857542984599	0.2458595746637002
trans2fd827f17dccfdb0	0.7939136586148259	0.07635111175341544
trans30720d1b8c5c7815	0.8193818820510121	0.0541666902949257
trans30943c358cbb0fe9	0.7146554148205339	0.06850496952276841
trans309e345b61b6bd87	0.7017304689099425	0.19092546662326995
trans3114531fe26d22a4	1.133767029383286	0.2953287986637081
trans314ab809ce2f8464	0.906652190425496	0.7088154524462896
trans319e6b295d0dee4c	1.1027409240568837	0.9570816252364486
trans31b24bae5557c908	1.078821734892493	0.7780029770304375
trans32364a7847ed4b0e	0.9247134488984251	0.22250359621270768
trans3246823590abb9ab	1.0966903863105766	0.3977805667393304
trans32e1155ac7626789	1.0838564112178262	0.7753546766237158
trans32e84aed4f0f8e4a	0.7874944014749418	0.14698767377219474
trans331534ad189a541d	1.0256523375649642	0.889403764276018
trans33d47d14f5e45657	1.005596228083411	0.9815377428159197
trans3413d14c0d0b907e	0.9967723479974916	0.966261346018548
trans3431d6206d8b9aa6	0.8099941447367232	0.2779320580014928
trans3434f54bc62a047c	0.777028100866863	0.014093794923224138
trans343ad11af02aee4c	1.1614594199184811	0.4712634126972695
trans34845a2f2dad8703	1.080225333666717	0.5853732152783576
trans34d544f8cd0f290b	0.9285216671928026	0.29147332134685516
trans350462a12644b3ee	0.7708802492928615	0.058876377912226115
trans352dd7335321953a	0.9008080174257663	0.24323573549504388
trans35537b18c1a86f1c	0.6994731381871893	0.04109942247315994
trans35e442bcbdf16ec8	0.7492006778648289	0.07911281598844404
trans360259f6fc3746c3	1.1463893166485892	0.7142606789197906
trans3607be16e4144751	0.873966664448704	0.17360728268420228
trans36bf96e085a67459	0.8493768463935784	0.258350615485893
trans36f0c349a5d7c35c	1.048587978984738	0.7809286937526618
trans370a28867bc7fee5	0.8926281628984508	0.14567370230572846
trans376e1e8a7cf9da63	1.0873235577379452	0.5712914240137642
trans37f82b537b306a44	0.6941116190816558	0.01183854574987715
trans380c4c464599fea7	1.3116241357728569	0.06970829846292875
trans38d58413816295d0	0.8060100143906133	0.48269819014280335
trans39103533dfcc9703	0.9097128291773102	0.6202095455883828
trans3aa4b07acb40af5c	1.2154905949934864	0.12339565435877804
trans3b15820dbd3be501	1.198123326964708	0.23023225547059697
trans3b61721ec7ee0594	0.8267972825118642	0.1994585238085361
trans3b7aa2c739a4412f	0.92231720831655994	0.5573441076557569
trans3b7d8adf021b43de	0.8759378853631252	0.2296083330187442
trans3be36f1c03b11cbd	1.1821766283351847	0.34443658534652594
trans3c24fcb43441dd09	0.8111057154562161	0.35864011033162707
trans3c6c9b4680e139a9	1.0515329850436135	0.6104872526879304
trans3cda21d3ffcbdf3b	0.8346705108332559	0.25412776562194483
trans3e788036fc480dac	0.9650629196594422	0.7343825662359249
trans3f58af460280b528	1.1981041638049912	0.2706921854352303
trans3ff7bfe53d00af67	0.9715631969619652	0.7026201383537621
trans404d20197f26c23d	0.7648606486011345	0.02092046169370914
trans4066390df292a289	0.7747904742690805	0.3386423057172751
trans40abb995a1decac3	0.9261448731347863	0.7198470635027379
trans40f7b66bb60f5f4b	0.8590102122363805	0.6771661478011467
trans418c01f2845d813e	1.1900964832949468	0.10911203532451565
trans418ceb160aba5add	1.3776310777937057	0.22367556238432315
trans42897b020a170afa	0.6703442492825851	0.01632226103477749
trans429c594884008595	1.1085383376452118	0.8121731338357144
trans42c6cf1574e07bd2	0.7888467420046414	0.2501185562467295
trans42f13bff389b5b3b	1.0380725690703856	0.6379306927761995
trans433aacf149395b15	0.9677905613591548	0.7499944772143197
trans439b87486cb5eaf5	1.0535326343858529	0.6432881367426666
trans43a16a54d98ecdfe	0.925859055132979	0.25117864263829853
trans43d4b3ab820bf44e	1.2076879673020906	0.4512382882361578
trans448ebd802272222c	0.9090918663105536	0.5603869328217963
trans44b1b530ad7168d5	0.8979133973305973	0.38580082998198234
trans44f172a78b9f82c1	0.9504058754304323	0.7207477707491463
trans44fe1e779ea41168	0.8194794918442153	0.5656842248406165
trans455b7de858e559f1	1.0578043038909772	0.8807763838476046
trans4569d8bc812d5598	1.0561440175716832	0.5678441046805095
trans456b7767c247a13c	1.4301903310653707	0.10599758232076763
trans46245bbcb81da8ca	0.8189409969344236	0.19399686662612511
trans47e5ddcd89fac06e	1.1358212501285019	0.24119935902181994
trans486a112431a2a501	0.8678481583325481	0.41923418809137936
trans4924c993b24bb302	0.9686333695805862	0.848140599104751
trans49d3237fe289458f	4.106167908013375	0.45648365287162973
trans49fe859d38af18e5	0.7358902182537738	0.2536400823420558
trans4a8a9a683b24e27f	1.0981838920806108	0.6900913176171249
trans4accb4ed6375321a	1.2502131207761586	0.37581369531393094
trans4b0b402ca2300c70	0.9547750980692945	0.9527773692929848
trans4bb9fd377e12cfda	0.9463205113591745	0.6224705627215116
trans4c4d1867e91f7fcc	0.8690939742059642	0.03422628772595398
trans4d254a36cd5f15bd	0.7625860186257104	0.06355052955240585
trans4dd49aa7f115fbf5	0.898220401717769	0.393790759518971
trans4e33ed74ada6467b	0.7203666813849199	0.06363219564286597
trans4ebfd7d23a80c707	0.8200061241080425	0.3475180329575911
trans4f6f00041c410162	0.8816032587590155	0.41351486173738805
trans503d77234b35b652	0.8834813967955728	0.7210116516266871
trans5061aeef52b7afa2	0.9691611484863337	0.7942611349084908
trans50947989a41ab278	0.9399914249893496	0.6872090671225402
trans51a24626dfa3b98c	0.8316950275246686	0.14646153471741116
trans52ef001988559492	0.8887537584678714	0.5049499930768264
trans52fc384edfe178d3	0.9106507623506708	0.2591097641118643
trans52ff54f40e589aed	0.9929700476698581	0.927087146646401
trans536559822315fccb	0.9358431740963864	0.45599702935477654
trans5423a987183264b4	0.8772082453419853	0.13003492359651328
trans542a26b2b704b997	1.4658015333071626	0.18819965210401765
trans548cb54929027c64	1.042112259634711	0.7837610585018059
trans553a3b674b115f4d	0.8660993405946429	0.7001037541044591
trans557311240cc8963d	0.7212111794813809	0.4196923095683266
trans55a17078c827f5de	1.131798785306206	0.4977768345461747
trans56a2deaa19c4d352	0.3676872109863102	0.4265317360751275
trans576769fc2075ce75	0.7631525442163447	0.13350547113455974
trans581c067ae9afe9d0	1.0496382363317922	0.6715739077398705
trans5848e56eafc8dfc0	1.0703864078701033	0.29105534997977534
trans59510cef820d7308	0.8430882351164243	0.27511678448144467
trans596a45787c729274	1.2402488466000927	0.5191709121148819
trans59d1d8cfd1dc063b	0.9942933519055758	0.9839934008969834
trans59ef0c7fbf3b5d45	1.2320729356229387	0.28410513625490036
trans5a21738c57178487	0.792228107985659	0.3519311533350864
trans5a77ea01b44756f0	0.8306477967456314	0.0644650692380042
trans5b6e0366fd6ce5d5	0.9194014617356276	0.2518240803466385
trans5c04f9ca1aaa43f0	1.0600408504515373	0.6576740614601684
trans5ce23a0690f4183c	1.058090867047196	0.7128550969070941
trans5d1f0ea47b9ac9ad	0.9913713860454975	0.950096391061411
trans5d45e6670c7b6e1f	0.8137010389179117	0.1503490867927926
trans5d65046f0e952f67	0.9754394160169464	0.8593255316232538
trans5e567f4b83146d24	0.9543379872715346	0.5920786408645077
trans5e91af207580ca22	1.0688046087162333	0.6227402763403547
trans5ebed599c9d0f391	0.75624077583703	0.38980281757030405
trans5efd63569d0d38a6	1.0068601647364037	0.9432807232398189
trans5f2109fbf464b96d	0.9158974670021257	0.3467265167356114
trans5f76ee045651e4b5	0.6764002355055773	0.08893587533807497
trans5f889c11a156f663	0.9047180195469753	0.45871279699791784
trans5f97c5c46d6a33be	0.6382981911637462	0.07558375238101495
trans5fd27e649ca5530c	1.142940759039113	0.40558955780138106
trans60619c675a9f9a3e	0.8239536805322775	0.2971739306314686
trans60ba9ae436d4c971	1.1982921466321632	0.3114636273481686
trans611b58f082e5dbff	1.0345792669431224	0.8577329364974607
trans6157d20d6b4aadcb	0.9854733372172108	0.8908571777955877
trans617cf42f1fc91cd9	0.9744657354798991	0.8013256738019296
trans61b99626440c52f0	0.7238693751716183	0.12457740092237134
trans622cc7187c5ebc26	0.8292606614826011	0.3363210689812659
trans62405da230a67243	1.2802756376664348	0.46937043061468386
trans62b230740dd24e11	0.9511195060250274	0.7596369024804206
trans633d33add13875a9	0.9629925955425741	0.68591826533536715
trans63616605d5628e4c	0.9806989148353971	0.8280508588317951
trans6386bbb3246349a3	0.8162433894164168	0.1577018772945597
trans638e209c20678a48	0.919021319774617	0.5135919484880531
trans64a66732df2946e5	0.9514635319885165	0.8301282055682319
trans64d64f0d9e403460	0.959985217880663	0.8531144888590043
trans653a9168da3b3281	1.068985071343081	0.4030165138777971
trans655dc67c837b9907	0.6382669932482624	0.003283686441388325
trans65a2625ecac0407d	0.8526889838211725	0.08486341201149285
trans661a2b5cc020e1fa	1.0877545366227466	0.6771335059411252
trans661f49e163ef7a90	0.96325864509923	0.8263827323614145
trans662390336ae9e330	0.9467723583663887	0.6709879484195894
trans66ad2a60c410112b	2.3832210584824955	0.014086159086601536
trans6719a66c80455eac	0.935180896827856	0.41602422513413184
trans672ade7083f101af	0.7860619452103951	0.2693338377357818
trans678c3d561007b3af	1.2474709178364982	0.4839948810379392
trans67add4bfa34da617	1.0405190730982743	0.8004902808654116
trans67dd30047021efbb	0.7409700934388008	0.018607306869238352
trans681df94957f6fa8b	0.8441356703710099	0.07579272046348012
trans687c8446c33c5fb0	0.9037533232619729	0.2964445802631245
trans6885a3b59c69022e	1.0145780949392529	0.900713960541318
trans68c96fedded7f1e4	0.9513798062612475	0.856166859597507
trans6940552762894197	0.9588073729507288	0.6677196567778982
trans6975c9506b3ac104	1.0716067934148992	0.8007367783227005
trans699322dce40491ee	0.9455506737964255	0.6642445517429704
trans69da3a06718f6568	0.8553299384775424	0.4885386464723359
trans6a52db6ea1055be6	0.9322228393213473	0.22992955203297089
trans6aec262d9eb4bc2e	0.9173671295102547	0.5106852663003723
trans6b1489dc09329ff4	0.41583078168684606	0.05968219056364563
trans6ba1881355a73fd4	1.00189986152842	0.9813249181472836
trans6bc01c5d41786b2a	0.870469696166913	0.25457542598623567
trans6c3dc42dc20d7243	0.8352714612372507	0.11627195746386637
trans6c4235f8d4d19375	0.6619561288382289	0.058976856261321285
trans6c46197a5eef1db5	0.8172428359755042	0.11022908161479729
trans6cb414ceb99ab467	0.9963238050472385	0.9813884494419569
trans6d0b1d09afb494c5	1.1487075179319906	0.2937372471953681
trans6d0b73623196f2e8	NA	NA
trans6e34bc54badbcde3	0.9206360668936708	0.5653794790893532
trans6f2f59d7ea26c4ed	0.7704839106157839	0.0838999829666251
trans6fa432cf063371f6	0.7847797351564808	0.02324756959458813
trans6ff9e83fb5eff390	0.7075686742702632	0.18903834417283227
trans70f598323a58cc15	0.7050181153742078	0.07203226521131577
trans71adc962a0515d65	1.0728665920302514	0.8213734732190445
trans71b3d0ba4b11b016	1.0354476150673904	0.7873969837366265
trans71e9481e775e362a	0.9913758040780318	0.9339887360718847
trans72096b821086e220	1.1917771186548898	0.526227874756954
trans7230111a9021f1e3	1.0559055308495209	0.6044771764838065
trans7244bc60038d13ed	1.0911491854159059	0.48855746990729904
trans731259f979d7317c	0.9631701468426785	0.7325888146339663
trans73736bcce57cf2c6	1.3010140020174155	0.08942113545101485
trans73b82c141f8fa008	0.8988177014725279	0.39090662844226964
trans7442bcb8540b3ef1	0.7552876576023966	0.016944252402373877
trans7497e40d003d99f4	0.771031650170707	0.4240310078286777
trans74bf957bb864f247	1.1222162841353451	0.28021519709345627
trans75258b394f043250	0.8126987164978352	0.2755912820705114
trans766dee31a0940aab	1.06367165552581	0.8662344452706283
trans76be4478fde42e28	1.6469914254543552	0.07150648108595342
trans7701e9dedf557cd2	1.2811244779905022	0.06397763078962779
trans77b620148ea9b40f	1.0734405810335506	0.7406000666862731
trans78cdc8db72a12613	0.8885976052363086	0.18858472268698168
trans791d236b241ae471	0.8030948099030057	0.10833329469407967
trans794c912d98eb6b3f	0.9202538477170572	0.2668629972162466
trans7952f3068551898a	1.1461696918817756	0.43604073656059944
trans7960f78ec2faf7fb	0.7808159404378895	0.05706198660258892
trans79716265365af16d	1.0956590470233116	0.4851552236364932
trans7b1e8cb557b1e4dc	0.6344526013306413	0.011305132625182221
trans7ce442f47379f901	0.95952276352675	0.6908306949912475
trans7d7a8dd96739ed3e	1.049811237857646	0.6863683128748616
trans7e0e4010c743acc4	0.9489016226021807	0.6993813243956092
trans7e25821dd01cca39	1.0564048065160072	0.5050948991802657
trans7e627d5dba414c36	0.968592922828814	0.715838730942874
trans7f1d2b554d27b46c	0.990493567093717	0.925476854932297
trans7f5acce975a55407	0.8935804570726836	0.2751428759605198
trans7fbdff6e0198ab92	0.9987930919838542	0.9959086764385356
trans80031180964a3e9f	0.7360892042838411	0.0918370802308002
trans8041611a61913a93	0.8608340835289222	0.32636995277175085
trans80541c60f83cd865	0.9503198957731169	0.7184062376376305
trans8131910f0b48d459	1.279423679649746	0.059308514921701735
trans81672528ebc7264d	0.9481739004847406	0.7988044407774149
trans8173008444c01bce	0.9863501321193713	0.9197805066032565
trans818e89ea575141c6	1.0639798618648793	0.6530010249505842
trans8267b96ab8026ba6	0.9870737224052508	0.9621802159122956
trans82d0b1a4ffe011d1	0.42586458231043	0.014414112960673128
trans830098f9f4fc7a4b	0.7900947113245957	0.43578484637986287
trans836f24cb8faf3e05	0.93650483560229	0.5620696782285058
trans839e67bc81c3c405	0.7611672072618906	0.2634717432038839
trans83e9286305a953ae	0.850321835132162	0.025009923671945704
trans8498ce8a8d36a1f3	1.922116968233701	0.053472155690754385
trans84aef4875cbcf67b	0.9313170766095412	0.40139844080112613
trans84c25a72ca224174	0.7551287748523093	0.025474622956462727
trans84c888a7764ec988	1.0634416805333182	0.49865713531188727
trans85568642adab567d	1.0317291044574644	0.8249931631234413
trans856461d5bf9cff4b	1.0703856357362616	0.7010406726594383
trans85a3efb4e148a162	0.935316149179522	0.3545749171210529
trans8639010506f790b6	1.0346604800034476	0.8092498419610098
trans863bb56492e90e93	0.9485697560297526	0.6659376469563918
trans870dce3b4f24fda2	1.1262610248644767	0.6928258151030398
trans874fcb7bac418f2e	0.9829008257108517	0.8338225229716241
trans87503fad27874bb9	0.9818379732559828	0.9183404614333729
trans87a39ea6b82b40e2	1.0067869974294608	0.9570599194791234
trans87af42e77873f060	1.412492573708031	0.00927921621056933
trans87ec1628b6404cec	0.9238035509096889	0.7112423395549543
trans888f97576e1511db	1.1259716401440032	0.6875287426195876
trans893bd4098c3c42fe	0.6542837477080173	0.012459892381182945
trans8a5af42655cfb45a	0.9215317095421055	0.5507360576816391
trans8a71c3fc22c641cb	0.8991322646367189	0.3069623268089827
trans8b31326ab044b552	0.8795396247474856	0.07892738053148991
trans8b4adabc9f24aa66	0.9065857022752468	0.9087608269703064
trans8ba3341435c30f33	0.5387723605917638	0.25290286891960084
trans8bf5b945812483be	1.103081033795344	0.4761698190006968
trans8c2299aa2714d9c8	1.5090062746697575	0.31543432174145747
trans8c3c855ce694777a	3.3240102724819987	0.003950245573271361
trans8c3d29c6dfc85913	0.9295270555404123	0.4501832285507577
trans8cc8446080f21ffa	0.7058795616991305	0.014178560289992436
trans8cc8efabf3172e9e	0.8661778247625513	0.22886110064381648
trans8d4bb0c094a3dbd8	0.8729110646629441	0.29674482089718307
trans8ea17d67c6602842	0.5313269546455405	0.326560467937914
trans8eca666926a0c58b	0.8224741141916072	0.07047496519744825
