sample1	sample2	t_d
K265_N1t1	K265-R5	0.46390958101548374
K265_N1t1	K265-R7	0.3507837282306271
K328-R1	K328-R16	0.13708624548733173
K328-R1	K328-R19	0.040398901067510096
K328-R1	K328_R13	0.12321696748749467
K328-R1	K328_R18	0.1894401959311357
K328-R16	K328-R1	0.13708624548733173
K328-R16	K328-R19	0.09842106199360146
K328-R16	K328_R13	0.21892784215755967
K328-R16	K328_R18	0.2011151380811229
K328-R19	K328-R1	0.040398901067510096
K328-R19	K328-R16	0.09842106199360146
K328-R19	K328_R13	0.13212295407151542
K328-R19	K328_R18	0.18814127432261718
K328_R13	K328-R1	0.12321696748749467
K328_R13	K328-R16	0.21892784215755967
K328_R13	K328-R19	0.13212295407151542
K328_R13	K328_R18	0.12470777477695105
K328_R18	K328-R1	0.1894401959311357
K328_R18	K328-R16	0.2011151380811229
K328_R18	K328-R19	0.18814127432261718
K328_R18	K328_R13	0.12470777477695105
K328_N1t1	K328-R1	0.5464529082571125
K328_N1t1	K328-R16	0.6161737091570624
K328_N1t1	K328-R19	0.5669850683490756
K328_N1t1	K328_R13	0.6366519656368348
K328_N1t1	K328_R18	0.6848791399018137
