gene	t	p	model_p	fdr	variable
ABCA11P	5.451483253353957	2.474356550805168e-7	3.5898216818208e-19	1.2417604171633342e-6	is_normal
ABCA12	-3.484196084849007	6.763734318353856e-4	3.1314456071959498e-15	0.0017374142182690947	is_normal
ABCA17P	-4.299307546620254	3.3663344124267696e-5	3.6134164389181336e-7	1.133533680762677e-4	is_normal
ABCA2	2.5414826737649086	0.012231629674785348	0.46699824324776995	0.02348339582793939	is_normal
ABCA3	-0.9336209036439924	0.352257318287131	0.07943644464518398	0.4324804085469812	is_normal
ABCA5	8.393771242405153	7.542219088281238e-14	6.600204600542994e-17	1.03692635504448e-12	is_normal
ABCA6	3.1679227501166003	0.0019201868959917781	4.492210597269996e-25	0.004473346625610206	is_normal
ABCA7	-3.716221961041735	3.009951847320048e-4	2.926520546269693e-7	8.333249790262106e-4	is_normal
ABCA8	4.258518245304136	3.9512445616602345e-5	1.3874275850115576e-29	1.3147801266332e-4	is_normal
ABCA9	4.178324922185046	5.3980158618072895e-5	5.07515420578119e-22	1.7427320274921308e-4	is_normal
