Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Num Detections	Num Negative	Num Positive	Positive %	Num Positive per mm^2	Area µm^2	Perimeter µm
K139_PR001_PGM1	tumour_immune	tumour_immune	Image	Geometry	2388	2593.9	84642	73220	11422	13.49	1336.3	8547732.4	31916
K139_PR001_PGM1	Tissue_area	Tissue_area	Image	Geometry	2388	2593.9	84642	73220	11422	13.49	1336.3	8547732.4	31916
K139_PR001_PGM1	diffuse	diffuse	Image	Geometry	2388	2593.9	84642	73220	11422	13.49	1336.3	8547732.4	31916
K139_PR002_PGM1	Tissue_area	Tissue_area	Image	Polygon	1386.7	1853.7	75806	67390	8416	11.1	1606.3	5239377.7	9545.8
K139_PR002_PGM1	tumour_immune	tumour_immune	Image	Polygon	1495.3	2585.4	31933	28367	3566	11.17	1637.2	2178070.2	6923
K139_PR002_PGM1	Normal kidney	Normal kidney	Image	Polygon	1407.9	1171.3	40451	36111	4340	10.73	1631.9	2659409.9	7311.4
K139_PR002_PGM1	peri-tumoural_immune	peri-tumoural_immune	Normal kidney	Polygon	1353.1	1585.6	14943	13436	1507	10.08	1451.7	1038118.5	5469.7
K139_PR002_PGM1	diffuse	diffuse	Image	Polygon	1495.3	2585.4	31933	28367	3566	11.17	1637.2	2178070.2	6923
K139_PR003_PGM1	Tissue_area	Tissue_area	Image	Geometry	1506	2801.5	117616	109804	7812	6.642	763.92	10226221	20752.1
K139_PR003_PGM1	Normal kidney	Normal kidney	Image	Geometry	1506	2801.5	117616	109804	7812	6.642	763.92	10226221	20752.1
K139_PR004_PGM1	Tissue_area	Tissue_area	Image	Polygon	1776.3	2531.8	106033	85910	20123	18.98	2196.9	9159889.8	14993
K139_PR004_PGM1	Fibrosis	Fibrosis	Tissue_area	Geometry	2131.8	4521.6	2745	2584	161	5.865	153.95	1045779.9	8843.7
K139_PR004_PGM1	tumour_immune	tumour_immune	Image	Geometry	1730.4	2275.3	103288	83326	19962	19.33	2460.2	8114111.4	13324.8
K139_PR004_PGM1	peri-tumoural_immune	peri-tumoural_immune	Image	Geometry	2131.8	4521.6	2745	2584	161	5.865	153.95	1045779.9	8843.7
