Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Num Detections	Num Negative	Num Positive	Positive %	Num Positive per mm^2	Area µm^2	Perimeter µm
K237_PR001_PGM1	Tissue_area	Tissue_area	Image	Polygon	1525.8	1383	19066	13187	5879	30.83	1166.9	5037933.4	9583.7
K237_PR001_PGM1	Fibrosis	Fibrosis	Tissue_area	Geometry	1081.1	2003.3	4733	2337	2396	50.62	1182.1	2026983.5	9342.4
K237_PR001_PGM1	peri-tumoural_immune	peri-tumoural_immune	Fibrosis	Geometry	1176.7	1695.4	2585	1247	1338	51.76	1235.1	1083290.7	8460.4
K237_PR001_PGM1	tumour_immune	tumour_immune	Image	Geometry	1825.2	965.42	14333	10850	3483	24.3	1156.8	3010949	11309.7
K237_PR001_PGM1	diffuse	diffuse	Image	Geometry	1825.2	965.42	14333	10850	3483	24.3	1156.8	3010949	11309.7
K237_PR002_PGM1	Tissue_area	Tissue_area	Image	Polygon	1721.6	2190	29714	17180	12534	42.18	1577.3	7946577.8	11083
K237_PR002_PGM1	peri-tumoural_immune	peri-tumoural_immune	Tissue_area	Geometry	1749	2411.4	7669	4192	3477	45.34	1098.1	3166282.5	21752.3
K237_PR002_PGM1	tumour_immune	tumour_immune	Image	Geometry	1703.4	2043.4	22045	12988	9057	41.08	1894.7	4780294.7	20004.4
K237_PR002_PGM1	diffuse	diffuse	Image	Geometry	1703.4	2043.4	22045	12988	9057	41.08	1894.7	4780294.7	20004.4
K237_PR002_PGM1	Fibrosis	Fibrosis	Image	Geometry	1749	2411.4	7669	4192	3477	45.34	1098.1	3166282.5	21752.3
K237_PR003_PGM1	tumour_immune	tumour_immune	Image	Polygon	2269.8	2401.5	92358	77152	15206	16.46	1231.5	12347244.3	16160.3
K237_PR003_PGM1	Tissue_area	Tissue_area	Image	Polygon	2269.8	2401.5	92358	77152	15206	16.46	1231.5	12347244.3	16160.3
K237_PR003_PGM1	diffuse	diffuse	Image	Polygon	2269.8	2401.5	92358	77152	15206	16.46	1231.5	12347244.3	16160.3
K237_PR004_PGM1	Tissue_area	Tissue_area	Image	Polygon	2085.3	1978.1	130022	107454	22568	17.36	2155.5	10469774.8	12678.9
K237_PR004_PGM1	tumour_immune	tumour_immune	Image	Polygon	2085.3	1978.1	130022	107454	22568	17.36	2155.5	10469774.8	12678.9
K237_PR004_PGM1	diffuse	diffuse	Image	Polygon	2085.3	1978.1	130022	107454	22568	17.36	2155.5	10469774.8	12678.9
K237_PR005_PGM1	tumour_immune	tumour_immune	Image	Polygon	2183.4	2927	163134	140426	22708	13.92	1508.1	15057622	17524.4
K237_PR005_PGM1	Tissue_area	Tissue_area	Image	Polygon	2183.4	2927	163134	140426	22708	13.92	1508.1	15057622	17524.4
K237_PR005_PGM1	diffuse	diffuse	Image	Polygon	2183.4	2927	163134	140426	22708	13.92	1508.1	15057622	17524.4
K237_PR006_PGM1	Tissue_area	Tissue_area	Image	Polygon	2295	1976.6	104620	83942	20678	19.76	2114	9781422.4	12180.3
K237_PR006_PGM1	tumour_immune	tumour_immune	Image	Polygon	2295	1976.6	104620	83942	20678	19.76	2114	9781422.4	12180.3
K237_PR006_PGM1	diffuse	diffuse	Image	Polygon	2295	1976.6	104620	83942	20678	19.76	2114	9781422.4	12180.3
K237_PR007_PGM1	Tissue_area	Tissue_area	Image	Polygon	2225.6	2174.4	108738	95314	13424	12.35	1748.4	7677733.4	13168.1
K237_PR007_PGM1	tumour_immune	tumour_immune	Image	Polygon	2225.6	2174.4	108738	95314	13424	12.35	1748.4	7677733.4	13168.1
K237_PR007_PGM1	diffuse	diffuse	Image	Polygon	2225.6	2174.4	108738	95314	13424	12.35	1748.4	7677733.4	13168.1
K237_PR008_PGM1	Tissue_area	Tissue_area	Image	Geometry	2249.5	2745.8	92630	66358	26272	28.36	3002.7	8749444.5	26126.5
K237_PR008_PGM1	tumour_immune	tumour_immune	Image	Geometry	2249.5	2745.8	92630	66358	26272	28.36	3002.7	8749444.5	26126.5
K237_PR008_PGM1	diffuse	diffuse	Image	Geometry	2249.5	2745.8	92630	66358	26272	28.36	3002.7	8749444.5	26126.5
K237_NR001_PGM1	Tissue_area	Tissue_area	Image	Polygon	1689.2	3219.1	39157	37822	1335	3.409	167.09	7989844.3	15625.6
K237_NR001_PGM1	Normal kidney	Normal kidney	Image	Polygon	1689.2	3219.1	39157	37822	1335	3.409	167.09	7989844.3	15625.6
