Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Num Detections	Num Negative	Num Positive	Positive %	Num Positive per mm^2	Area µm^2	Perimeter µm
K191_PR001_PGM1	Tissue_area	Tissue_area	Image	Geometry	2027.8	3736.5	107816	76706	31110	28.85	2083.1	14934776.6	23905.9
K191_PR001_PGM1	tumour_immune	tumour_immune	Image	Geometry	2027.8	3736.5	107816	76706	31110	28.85	2083.1	14934776.6	23905.9
K191_PR001_PGM1	diffuse	diffuse	Image	Geometry	2027.8	3736.5	107816	76706	31110	28.85	2083.1	14934776.6	23905.9
K191_PR002_PGM1	Tissue_area	Tissue_area	Image	Polygon	2821.1	3029	88613	50431	38182	43.09	2609.8	14630244.5	25359.5
K191_PR002_PGM1	Necrosis	Necrosis	Tissue_area	Geometry	3183.2	3262.3	44517	18062	26455	59.43	2854	9269389.8	34141.8
K191_PR002_PGM1	peri-tumoural_immune	peri-tumoural_immune	Necrosis	Geometry	3046.3	3256.1	33561	12892	20669	61.59	2966.8	6966724.5	38446.5
K191_PR002_PGM1	tumour_immune	tumour_immune	Image	Geometry	2195.2	2625.7	44096	32369	11727	26.59	2187.4	5361254.5	40726.7
K191_PR002_PGM1	diffuse	diffuse	Image	Geometry	2195.2	2625.7	44096	32369	11727	26.59	2187.4	5361254.5	40726.7
K191_PR003_PGM1	Tissue_area	Tissue_area	Image	Geometry	2117.2	1536.6	48535	35794	12741	26.25	1992.3	6395156.1	15790.5
K191_PR003_PGM1	tumour_immune	tumour_immune	Image	Geometry	2081.4	1570.1	45780	34304	11476	25.07	1948.2	5890429.4	17813.1
K191_PR003_PGM1	diffuse	diffuse	Image	Geometry	2081.4	1570.1	45780	34304	11476	25.07	1948.2	5890429.4	17813.1
K191_PR004_PGM1	Tissue_area	Tissue_area	Image	Polygon	2508.1	1900.6	58338	32278	26060	44.67	3758.7	6933266.7	18566.3
K191_PR004_PGM1	peri-tumoural_immune	peri-tumoural_immune	Tissue_area	Geometry	2279.9	1771.4	2103	321	1782	84.74	1504.9	1184102	11145.8
K191_PR004_PGM1	tumour_immune	tumour_immune	Image	Geometry	2555.2	1927.2	56235	31957	24278	43.17	4222.9	5749165.1	24404.6
K191_PR004_PGM1	diffuse	diffuse	Image	Geometry	2555.2	1927.2	56235	31957	24278	43.17	4222.9	5749165.1	24404.6
K191_PR004_PGM1	Non-tumour tissue	Non-tumour tissue	Image	Geometry	2279.9	1771.4	2103	321	1782	84.74	1504.9	1184102	11145.8
K191_PR005_PGM1	tumour_immune	tumour_immune	Image	Polygon	1851.4	1660.1	53666	30378	23288	43.39	3545.6	6568199.9	9715.1
K191_PR005_PGM1	Tissue_area	Tissue_area	Image	Polygon	1851.4	1660.1	53666	30378	23288	43.39	3545.6	6568199.9	9715.1
K191_PR005_PGM1	hot spots	hot spots	Image	Polygon	1851.4	1660.1	53666	30378	23288	43.39	3545.6	6568199.9	9715.1
K191_PR006_PGM1	tumour_immune	tumour_immune	Image	Geometry	1999.1	1785.5	18101	6920	11181	61.77	3805.4	2938165.4	23062.6
K191_PR006_PGM1	Non-tumour tissue	Non-tumour tissue	Image	Geometry	2025	1898.4	5960	534	5426	91.04	2619.2	2071635.4	17233
K191_PR006_PGM1	diffuse	diffuse	Image	Geometry	1999.1	1785.5	18101	6920	11181	61.77	3805.4	2938165.4	23062.6
K191_PR006_PGM1	peri-tumoural_immune	peri-tumoural_immune	Image	Geometry	2025	1898.4	5960	534	5426	91.04	2619.2	2071635.4	17233
K191_PR006_PGM1	Tissue_area	Tissue_area	Image	Geometry	2009.8	1832.2	24061	7454	16607	69.02	3314.9	5009800.8	22782.7
K191_PR008_PGM1	Tissue_area	Tissue_area	Image	Geometry	3590.4	3560.7	182729	117358	65371	35.77	4508.9	14498066.7	29270.7
K191_PR008_PGM1	artefact	artefact	Tissue_area	Geometry	3576.6	2953.3	40354	17174	23180	57.44	4240	5466977.8	46164.8
K191_PR008_PGM1	tumour_immune	tumour_immune	Image	Geometry	3598.8	3928.5	142375	100184	42191	29.63	4671.8	9031088.9	49186.7
K191_PR008_PGM1	diffuse	diffuse	Image	Geometry	3598.8	3928.5	142375	100184	42191	29.63	4671.8	9031088.9	49186.7
K191_PR009_PGM1	Tissue_area	Tissue_area	Image	Geometry	2035.8	2774.2	20936	13188	7748	37.01	2434.7	3182265.7	13738.3
K191_PR009_PGM1	tumour_immune	tumour_immune	Image	Geometry	2035.8	2774.2	20936	13188	7748	37.01	2434.7	3182265.7	13738.3
K191_PR009_PGM1	diffuse	diffuse	Image	Geometry	2035.8	2774.2	20936	13188	7748	37.01	2434.7	3182265.7	13738.3
