Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Num Detections	Num Negative	Num Positive	Positive %	Num Positive per mm^2	Area µm^2	Perimeter µm
K243_PR001_PGM1	Tissue_area	Tissue_area	Image	Geometry	2252.3	2323.9	108885	71216	37669	34.6	3138.3	12002822.3	13158.4
K243_PR001_PGM1	peri-tumoural_immune	peri-tumoural_immune	Tissue_area	Polygon	947.25	1333.8	1211	841	370	30.55	411.24	899728.5	7267
K243_PR001_PGM1	tumour_immune	tumour_immune	Image	Geometry	2358	2404.1	107674	70375	37299	34.64	3359.3	11103093.8	15701.2
K243_PR001_PGM1	diffuse	diffuse	Image	Geometry	2358	2404.1	107674	70375	37299	34.64	3359.3	11103093.8	15701.2
K243_PR001_PGM1	Fibrosis	Fibrosis	Image	Polygon	947.25	1333.8	1211	841	370	30.55	411.24	899728.5	7267
K243_PR002_PGM1	tumour_immune	tumour_immune	Image	Polygon	2295.2	2583.2	141094	98370	42724	30.28	3282.5	13015822.1	14096.4
K243_PR002_PGM1	Tissue_area	Tissue_area	Image	Polygon	2295.2	2583.2	141094	98370	42724	30.28	3282.5	13015822.1	14096.4
K243_PR002_PGM1	diffuse	diffuse	Image	Polygon	2295.2	2583.2	141094	98370	42724	30.28	3282.5	13015822.1	14096.4
K243_PR003_PGM1	Tissue_area	Tissue_area	Image	Polygon	3305.3	2802	149502	121670	27832	18.62	2187.2	12724777.8	21184.9
K243_PR003_PGM1	Fibrosis	Fibrosis	Tissue_area	Geometry	4505.5	1389.8	4689	3091	1598	34.08	894.44	1786602.7	8819
K243_PR003_PGM1	tumour_immune	tumour_immune	Image	Geometry	3109.3	3032.6	144813	118579	26234	18.12	2398.4	10938174.7	22673.4
K243_PR003_PGM1	diffuse	diffuse	Image	Geometry	3109.3	3032.6	144813	118579	26234	18.12	2398.4	10938174.7	22673.4
K243_PR003_PGM1	peri-tumoural_immune	peri-tumoural_immune	Image	Geometry	4505.5	1389.8	4689	3091	1598	34.08	894.44	1786602.7	8819
K243_PR004_PGM1	Tissue_area	Tissue_area	Image	Polygon	1626	1328.1	54406	45228	9178	16.87	2599.1	3531244.4	8809.3
K243_PR004_PGM1	tumour_immune	tumour_immune	Image	Polygon	1626	1328.1	54406	45228	9178	16.87	2599.1	3531244.4	8809.3
K243_PR004_PGM1	diffuse	diffuse	Image	Polygon	1626	1328.1	54406	45228	9178	16.87	2599.1	3531244.4	8809.3
