Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Num Detections	Num Negative	Num Positive	Positive %	Num Positive per mm^2	Area µm^2	Perimeter µm
K059_PR002_PGM1	Tissue_area	Tissue_area	Image	Polygon	4107.1	2733.8	232691	136314	96377	41.42	3308.9	29126953	29406.7
K059_PR002_PGM1	haemorrhage	haemorrhage	Tissue_area	Polygon	6831.2	3436.5	9300	4445	4855	52.2	2617	1855206.9	5955.6
K059_PR002_PGM1	tumour_immune	tumour_immune	Image	Polygon	3921.8	2685.9	223391	131869	91522	40.97	3355.9	27271746.1	26652.8
K059_PR002_PGM1	peri-tumoural_immune	peri-tumoural_immune	Image	Polygon	6831.2	3436.5	9300	4445	4855	52.2	2617	1855206.9	5955.6
K059_PR002_PGM1	diffuse	diffuse	Image	Polygon	3921.8	2685.9	223391	131869	91522	40.97	3355.9	27271746.1	26652.8
K059_PR003_PGM1	Tissue_area	Tissue_area	Image	Geometry	6657.3	3775.1	294438	197172	97266	33.03	2635.1	36911465.2	62495.1
K059_PR003_PGM1	tumour_immune	tumour_immune	Image	Geometry	6657.3	3775.1	294438	197172	97266	33.03	2635.1	36911465.2	62495.1
K059_PR003_PGM1	diffuse	diffuse	Image	Geometry	6657.3	3775.1	294438	197172	97266	33.03	2635.1	36911465.2	62495.1
K059_PR004_PGM1	Tissue_area	Tissue_area	Image	Geometry	2228	2486.7	87562	56454	31108	35.53	3384.4	9191555.1	14985.9
K059_PR004_PGM1	tumour_immune	tumour_immune	Image	Geometry	2228	2486.7	87562	56454	31108	35.53	3384.4	9191555.1	14985.9
K059_PR004_PGM1	diffuse	diffuse	Image	Geometry	2228	2486.7	87562	56454	31108	35.53	3384.4	9191555.1	14985.9
K059_PR005_PGM1	Tissue_area	Tissue_area	Image	Geometry	3749.8	2850.5	225636	160992	64644	28.65	3050.7	21189665.9	37742
K059_PR005_PGM1	tumour_immune	tumour_immune	Image	Geometry	3749.8	2850.5	225636	160992	64644	28.65	3050.7	21189665.9	37742
K059_PR005_PGM1	diffuse	diffuse	Image	Geometry	3749.8	2850.5	225636	160992	64644	28.65	3050.7	21189665.9	37742
K059_PR007_PGM1	Tissue_area	Tissue_area	Image	Polygon	3705.8	3679.6	80235	35987	44248	55.15	1970	22460688.7	26046.8
K059_PR007_PGM1	aggregates	aggregates	Image	Polygon	3705.8	3679.6	80235	35987	44248	55.15	1970	22460688.7	26046.8
K059_PR007_PGM1	tumour_immune	tumour_immune	Image	Polygon	3705.8	3679.6	80235	35987	44248	55.15	1970	22460688.7	26046.8
K059_PR008_PGM1	tumour_immune	tumour_immune	Image	Geometry	5821.5	3813.3	326454	198976	127478	39.05	3727.6	34198777.1	52022.3
K059_PR008_PGM1	Tissue_area	Tissue_area	Image	Geometry	5821.5	3813.3	326454	198976	127478	39.05	3727.6	34198777.1	52022.3
K059_PR008_PGM1	aggregates	aggregates	Image	Geometry	5821.5	3813.3	326454	198976	127478	39.05	3727.6	34198777.1	52022.3
K059_PR009_PGM1	Tissue_area	Tissue_area	Image	Geometry	3973.1	3732.8	295074	211742	83332	28.24	2727.5	30552488.1	39378.7
K059_PR009_PGM1	tumour_immune	tumour_immune	Image	Geometry	3973.1	3732.8	295074	211742	83332	28.24	2727.5	30552488.1	39378.7
K059_PR009_PGM1	diffuse	diffuse	Image	Geometry	3973.1	3732.8	295074	211742	83332	28.24	2727.5	30552488.1	39378.7
K059_PR010_PGM1	tumour_immune	tumour_immune	Image	Geometry	3797.5	3606.8	326826	203632	123194	37.69	3831.9	32149733.4	43198.7
K059_PR010_PGM1	Tissue_area	Tissue_area	Image	Geometry	3797.5	3606.8	326826	203632	123194	37.69	3831.9	32149733.4	43198.7
K059_PR010_PGM1	aggregates	aggregates	Image	Geometry	3797.5	3606.8	326826	203632	123194	37.69	3831.9	32149733.4	43198.7
K059_PR011_PGM1	Tissue_area	Tissue_area	Image	Geometry	3859.7	2509.4	206726	135544	71182	34.43	2658.5	26775646.1	27972.6
K059_PR011_PGM1	tumour_immune	tumour_immune	Image	Geometry	3859.7	2509.4	206726	135544	71182	34.43	2658.5	26775646.1	27972.6
K059_PR011_PGM1	diffuse	diffuse	Image	Geometry	3859.7	2509.4	206726	135544	71182	34.43	2658.5	26775646.1	27972.6
K059_PR013_PGM1	tumour_immune	tumour_immune	Image	Polygon	3894.3	3142.5	123366	91725	31641	25.65	1315.5	24051600	40762.3
K059_PR013_PGM1	Tissue_area	Tissue_area	Image	Polygon	3894.3	3142.5	123366	91725	31641	25.65	1315.5	24051600	40762.3
K059_PR013_PGM1	diffuse	diffuse	Image	Polygon	3894.3	3142.5	123366	91725	31641	25.65	1315.5	24051600	40762.3
