Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Num Detections	Num Negative	Num Positive	Positive %	Num Positive per mm^2	Area µm^2	Perimeter µm
K220_PR001_PGM1	Tissue_area	Tissue_area	Image	Polygon	1399.4	1626.7	31214	22744	8470	27.14	1746.9	4848622.2	11215.5
K220_PR001_PGM1	Fibrosis	Fibrosis	Tissue_area	Geometry	920.16	1392.2	6860	3606	3254	47.43	2229.3	1459643.4	10241.3
K220_PR001_PGM1	peri-tumoural_immune	peri-tumoural_immune	Fibrosis	Geometry	927.2	1418.6	6624	3484	3140	47.4	2238.1	1402952.5	10202.8
K220_PR001_PGM1	tumour_immune	tumour_immune	Image	Geometry	1605.8	1727.7	24354	19138	5216	21.42	1539.1	3388978.3	13585.9
K220_PR001_PGM1	diffuse	diffuse	Image	Geometry	1605.8	1727.7	24354	19138	5216	21.42	1539.1	3388978.3	13585.9
K220_PR002_PGM1	Tissue_area	Tissue_area	Image	Geometry	1572.9	2373.1	23407	18901	4506	19.25	841.44	5355111.7	21958.5
K220_PR002_PGM1	Non-tumour tissue	Non-tumour tissue	Tissue_area	Geometry	1504.1	2987.5	6832	4737	2095	30.66	630.71	3321660.6	16453.1
K220_PR002_PGM1	peri-tumoural_immune	peri-tumoural_immune	Non-tumour tissue	Geometry	1781.2	2635.3	3435	2535	900	26.2	582.72	1544480.7	15383.1
K220_PR002_PGM1	tumour_immune	tumour_immune	Image	Geometry	1685.5	1369.6	16575	14164	2411	14.55	1185.7	2033451.1	13707
K220_PR002_PGM1	diffuse	diffuse	Image	Geometry	1685.5	1369.6	16575	14164	2411	14.55	1185.7	2033451.1	13707
K220_PR003_PGM1	Tissue_area	Tissue_area	Image	Geometry	1409.4	2428.7	17378	8272	9106	52.4	1252.8	7268632.3	21795.4
K220_PR003_PGM1	Non-tumour tissue	Non-tumour tissue	Image	Geometry	1409.4	2428.7	17378	8272	9106	52.4	1252.8	7268632.3	21795.4
K220_PR004_PGM1	Tissue_area	Tissue_area	Image	Geometry	1443.2	2580.6	8726	780	7946	91.06	1037.7	7657066.7	12387.9
K220_PR004_PGM1	Necrosis	Necrosis	Image	Geometry	1443.2	2580.6	8726	780	7946	91.06	1037.7	7657066.7	12387.9
K220_PR005_PGM1	Tissue_area	Tissue_area	Image	Geometry	1230.5	1860.5	25708	18034	7674	29.85	1880	4081978.2	10500.4
K220_PR005_PGM1	tumour_immune	tumour_immune	Image	Geometry	1230.5	1860.5	25708	18034	7674	29.85	1880	4081978.2	10500.4
K220_PR005_PGM1	diffuse	diffuse	Image	Geometry	1230.5	1860.5	25708	18034	7674	29.85	1880	4081978.2	10500.4
K220_PR006_PGM1	Tissue_area	Tissue_area	Image	Geometry	2008.9	2362.5	5363	3390	1973	36.79	207.88	9491221.4	13788.5
K220_PR006_PGM1	tumour_immune	tumour_immune	Tissue_area	Geometry	2454.3	1446	3622	2219	1403	38.74	529.87	2647831.3	10209.7
K220_PR006_PGM1	Necrosis	Necrosis	Image	Geometry	1836.6	2717.1	1741	1171	570	32.74	83.29	6843390	13429
K220_PR006_PGM1	peri-tumoural_immune	peri-tumoural_immune	Necrosis	Geometry	1813.6	1917.6	619	411	208	33.6	94.02	2212321.5	11690.1
K220_PR006_PGM1	diffuse	diffuse	Image	Geometry	2454.3	1446	3622	2219	1403	38.74	529.87	2647831.3	10209.7
K220_PR007_PGM1	Necrosis	Necrosis	Image	Geometry	2147.8	2790.9	3316	788	2528	76.24	207.55	12180236.2	15290.2
K220_PR007_PGM1	Tissue_area	Tissue_area	Image	Geometry	2147.8	2790.9	3316	788	2528	76.24	207.55	12180236.2	15290.2
K220_PR008_PGM1	Tissue_area	Tissue_area	Image	Geometry	2453	2263.3	44414	33643	10771	24.25	1097.9	9810332.3	28473.3
K220_PR008_PGM1	Fibrosis	Fibrosis	Tissue_area	Geometry	2968.3	2192.4	11908	7153	4755	39.93	1031.8	4608535.8	23633.4
K220_PR008_PGM1	peri-tumoural_immune	peri-tumoural_immune	Fibrosis	Geometry	2868.3	2344.7	10232	6260	3972	38.82	1037.7	3827748.1	24061.1
K220_PR008_PGM1	tumour_immune	tumour_immune	Image	Geometry	2002.3	2330.7	32528	26510	6018	18.5	1151.5	5226101.6	39029.4
K220_PR008_PGM1	diffuse	diffuse	Image	Geometry	2002.3	2330.7	32528	26510	6018	18.5	1151.5	5226101.6	39029.4
K220_PR009_PGM1	Tissue_area	Tissue_area	Image	Geometry	2800.5	2721.6	83362	64593	18769	22.52	1031.5	18196199.7	25500.1
K220_PR009_PGM1	Fibrosis	Fibrosis	Tissue_area	Geometry	2615.5	4015.3	7778	4344	3434	44.15	685.71	5007964.7	32062.1
K220_PR009_PGM1	tumour_immune	tumour_immune	Image	Geometry	2870.7	2230.4	75584	60249	15335	20.29	1162.8	13188235	33938
K220_PR009_PGM1	peri-tumoural_immune	peri-tumoural_immune	Image	Geometry	2668.8	3641.6	5593	2911	2682	47.95	923.97	2902695.2	26001.2
K220_PR009_PGM1	diffuse	diffuse	Image	Geometry	2870.7	2230.4	75584	60249	15335	20.29	1162.8	13188235	33938
K220_PR010_PGM1	Tissue_area	Tissue_area	Image	Geometry	2431.6	2328.3	20959	13092	7867	37.54	624.49	12597400.3	27677.1
K220_PR010_PGM1	Necrosis	Necrosis	Tissue_area	Geometry	2237.4	2440	11548	5907	5641	48.85	727.31	7756004.7	43454
K220_PR010_PGM1	peri-tumoural_immune	peri-tumoural_immune	Necrosis	Geometry	2459.7	2316.2	8091	3938	4153	51.33	745.16	5573275.7	37640.2
