Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Num Detections	Num Negative	Num Positive	Positive %	Num Positive per mm^2	Area µm^2	Perimeter µm
K139_PR001_CD3	Tissue_area	Tissue_area	Image	Geometry	2480.5	2820	71508	53522	17986	25.15	2857.9	6293504	49505.7
K139_PR001_CD3	tumour_immune	tumour_immune	Image	Geometry	2480.5	2820	71508	53522	17986	25.15	2857.9	6293504	49505.7
K139_PR001_CD3	aggregates	aggregates	Image	Geometry	2480.5	2820	71508	53522	17986	25.15	2857.9	6293504	49505.7
K139_PR002_CD3	Tissue_area	Tissue_area	Image	Geometry	1675.2	2093.5	64516	51795	12721	19.72	2134.2	5960600.1	13632.9
K139_PR002_CD3	Normal kidney	Normal kidney	Tissue_area	Geometry	1773.9	1252.2	16764	10646	6118	36.49	2458.3	2488679.2	11432.6
K139_PR002_CD3	peri-tumoural_immune	peri-tumoural_immune	Normal kidney	Geometry	1678.2	1567.8	7735	5029	2706	34.98	2235.1	1210670.4	10199.3
K139_PR002_CD3	tumour_immune	tumour_immune	Image	Geometry	1604.6	2696.4	47758	41155	6603	13.83	1901.1	3473285.3	11627.3
K139_PR002_CD3	diffuse	diffuse	Image	Geometry	1604.6	2696.4	47758	41155	6603	13.83	1901.1	3473285.3	11627.3
K139_PR003_CD3	Normal kidney	Normal kidney	Image	Polygon	1811	2975.8	104724	91076	13648	13.03	1328.1	10276354.6	19066.2
K139_PR003_CD3	Tissue_area	Tissue_area	Image	Polygon	1811	2975.8	104724	91076	13648	13.03	1328.1	10276354.6	19066.2
K139_PR004_CD3	Tissue_area	Tissue_area	Image	Polygon	1869.8	2530.7	110334	91494	18840	17.08	2033.4	9265044.5	14941.2
K139_PR004_CD3	tumour_immune	tumour_immune	Image	Polygon	1869.8	2530.7	110334	91494	18840	17.08	2033.4	9265044.5	14941.2
K139_PR004_CD3	aggregates	aggregates	Image	Polygon	1869.8	2530.7	110334	91494	18840	17.08	2033.4	9265044.5	14941.2
K139_PR005_CD3	Tissue_area	Tissue_area	Image	Geometry	2069.1	2674.1	69619	59558	10061	14.45	1570.5	6406424.2	21265.6
K139_PR005_CD3	artefact	artefact	Tissue_area	Geometry	1730	2139.4	3979	2962	1017	25.56	787.84	1290877.8	6381.7
K139_PR005_CD3	tumour_immune	tumour_immune	Image	Geometry	2156.7	2820.1	65825	56742	9083	13.8	1749.5	5191898.6	24352.5
K139_PR005_CD3	aggregates	aggregates	Image	Geometry	2156.7	2820.1	65825	56742	9083	13.8	1749.5	5191898.6	24352.5
K139_PR006_CD3	Tissue_area	Tissue_area	Image	Geometry	1982.2	3090.6	142984	119900	23084	16.14	2138.5	10794524.3	20300.6
K139_PR006_CD3	tumour_immune	tumour_immune	Image	Geometry	1982.2	3090.6	142984	119900	23084	16.14	2138.5	10794524.3	20300.6
K139_PR006_CD3	aggregates	aggregates	Image	Geometry	1982.2	3090.6	142984	119900	23084	16.14	2138.5	10794524.3	20300.6
K139_PR006_CD3	hot spots	hot spots	Image	Geometry	1982.2	3090.6	142984	119900	23084	16.14	2138.5	10794524.3	20300.6
K139_PR007_CD3	Tissue_area	Tissue_area	Image	Geometry	1771.2	1336	40790	29845	10945	26.83	4177.4	2620038.9	16848.5
K139_PR007_CD3	Normal kidney	Normal kidney	Tissue_area	Geometry	2049.3	925.42	14857	8911	5946	40.02	4337.8	1370753.4	9250.4
K139_PR007_CD3	peri-tumoural_immune	peri-tumoural_immune	Normal kidney	Geometry	2129.3	1121.2	7985	5396	2589	32.42	3123.7	828817.9	8295.5
K139_PR007_CD3	tumour_immune	tumour_immune	Image	Geometry	1462	1779.8	26071	21052	5019	19.25	3920.2	1280306	12709.2
K139_PR007_CD3	aggregates	aggregates	Image	Geometry	1462	1779.8	26071	21052	5019	19.25	3920.2	1280306	12709.2
K139_PR008_CD3	tumour_immune	tumour_immune	Image	Polygon	1073.7	1293.1	5179	4471	708	13.67	432.9	1635471.2	7631.6
K139_PR008_CD3	Non-tumour tissue	Non-tumour tissue	Image	Polygon	2271.2	3603.4	6630	5448	1182	17.83	181.17	6524238.7	19600.8
K139_PR008_CD3	peri-tumoural_immune	peri-tumoural_immune	Non-tumour tissue	Geometry	1631.1	2002.2	908	661	247	27.2	242.67	1017847.5	6036.7
K139_PR008_CD3	Tissue_area	Tissue_area	Image	Polygon	2040.3	3149.7	11807	9918	1889	16	232.9	8110769	24047.7
K139_PR008_CD3	diffuse	diffuse	Image	Polygon	1073.7	1293.1	5179	4471	708	13.67	432.9	1635471.2	7631.6
K139_PR009_CD3	tumour_immune	tumour_immune	Image	Geometry	1244.1	1741.1	10996	8961	2035	18.51	381.94	5327997.2	12287.6
K139_PR009_CD3	Tissue_area	Tissue_area	Image	Geometry	1244.1	1741.1	10996	8961	2035	18.51	381.94	5327997.2	12287.6
K139_PR009_CD3	diffuse	diffuse	Image	Geometry	1244.1	1741.1	10996	8961	2035	18.51	381.94	5327997.2	12287.6
K139_PR010_CD3	Tissue_area	Tissue_area	Image	Polygon	2336.9	2292.7	43414	36032	7382	17	910.27	8109722.2	12864.1
K139_PR010_CD3	tumour_immune	tumour_immune	Image	Polygon	2336.9	2292.7	43414	36032	7382	17	910.27	8109722.2	12864.1
K139_PR010_CD3	aggregates	aggregates	Image	Polygon	2336.9	2292.7	43414	36032	7382	17	910.27	8109722.2	12864.1
K139_PR011_CD3	tumour_immune	tumour_immune	Image	Polygon	2000.2	2533	53822	42718	11104	20.63	1497.7	7413923.6	13430.6
K139_PR011_CD3	Tissue_area	Tissue_area	Image	Polygon	2000.2	2533	53822	42718	11104	20.63	1497.7	7413923.6	13430.6
K139_PR011_CD3	diffuse	diffuse	Image	Polygon	2000.2	2533	53822	42718	11104	20.63	1497.7	7413923.6	13430.6
K139_PR012_CD3	Tissue_area	Tissue_area	Image	Polygon	2563.2	2662.3	67198	51338	15860	23.6	1604.4	9885347.3	18659.8
K139_PR012_CD3	tumour_immune	tumour_immune	Image	Polygon	2563.2	2662.3	67198	51338	15860	23.6	1604.4	9885347.3	18659.8
K139_PR012_CD3	aggregates	aggregates	Image	Polygon	2563.2	2662.3	67198	51338	15860	23.6	1604.4	9885347.3	18659.8
K139_PR013_CD3	diffuse	diffuse	Image	Polygon	1522	1787	51798	45082	6716	12.97	1341.7	5005755.5	12098.5
K139_PR013_CD3	Tissue_area	Tissue_area	Image	Polygon	1522	1787	51798	45082	6716	12.97	1341.7	5005755.5	12098.5
K139_PR013_CD3	tumour_immune	tumour_immune	Image	Polygon	1522	1787	51798	45082	6716	12.97	1341.7	5005755.5	12098.5
K139_PR014_CD3	Tissue_area	Tissue_area	Image	Polygon	1814.8	3390.2	87992	67962	20030	22.76	2118.7	9453822	21423.8
K139_PR014_CD3	tumour_immune	tumour_immune	Image	Polygon	1814.8	3390.2	87992	67962	20030	22.76	2118.7	9453822	21423.8
K139_PR014_CD3	aggregates	aggregates	Image	Polygon	1814.8	3390.2	87992	67962	20030	22.76	2118.7	9453822	21423.8
K139_PR015_CD3	Tissue_area	Tissue_area	Image	Polygon	1852.2	2762.5	33257	27502	5755	17.3	630.1	9133488.9	17549.2
K139_PR015_CD3	Fibrosis	Fibrosis	Tissue_area	Geometry	1807.3	2844.2	1798	1653	145	8.065	42.38	3421139	13695.7
K139_PR015_CD3	peri-tumoural_immune	peri-tumoural_immune	Fibrosis	Geometry	1854	2785.3	1603	1481	122	7.611	38.36	3180247.7	15759.9
K139_PR015_CD3	tumour_immune	tumour_immune	Image	Geometry	1879	2713.5	31458	25848	5610	17.83	982.24	5711424.1	22718.8
K139_PR015_CD3	diffuse	diffuse	Image	Geometry	1879	2713.5	31458	25848	5610	17.83	982.24	5711424.1	22718.8
K139_PR016_CD3	Tissue_area	Tissue_area	Image	Geometry	1708.9	2534.9	49784	43743	6041	12.13	856.68	7051629.8	16003.1
K139_PR016_CD3	Regressive	Regressive	Tissue_area	Geometry	1542.9	4290.1	385	344	41	10.65	48.94	837841.9	7977.6
K139_PR016_CD3	tumour_immune	tumour_immune	Image	Geometry	1731.3	2298.3	49398	43398	6000	12.15	965.6	6213771.5	16012
K139_PR016_CD3	aggregates	aggregates	Image	Geometry	1731.3	2298.3	49398	43398	6000	12.15	965.6	6213771.5	16012
K139_PR016_CD3	peri-tumoural_immune	peri-tumoural_immune	Image	Geometry	1542.9	4290.1	385	344	41	10.65	48.94	837841.9	7977.6
K139_PR017_CD3	Tissue_area	Tissue_area	Image	Geometry	1406.7	2837.8	66146	50388	15758	23.82	1873.5	8410921.5	16288.6
K139_PR017_CD3	artefact	artefact	Tissue_area	Geometry	1763.4	4977	884	420	464	52.49	493.58	940077.6	8203.5
K139_PR017_CD3	tumour_immune	tumour_immune	Image	Geometry	1363.5	2521.9	64568	49486	15082	23.36	2056.2	7335023.6	20040.1
K139_PR017_CD3	diffuse	diffuse	Image	Geometry	1363.5	2521.9	64568	49486	15082	23.36	2056.2	7335023.6	20040.1
K139_PR019_CD3	Tissue_area	Tissue_area	Image	Polygon	2198	3091	71728	61160	10568	14.73	1026.4	10295799.9	20890.9
K139_PR019_CD3	tumour_immune	tumour_immune	Image	Polygon	2198	3091	71728	61160	10568	14.73	1026.4	10295799.9	20890.9
K139_PR019_CD3	diffuse	diffuse	Image	Polygon	2198	3091	71728	61160	10568	14.73	1026.4	10295799.9	20890.9
K139_PR020_CD3	tumour_immune	tumour_immune	Image	Geometry	1373.8	2219.8	22225	16672	5553	24.99	912.73	6083973.2	25530.7
K139_PR020_CD3	Fibrosis	Fibrosis	Image	Geometry	1735.9	4378.1	2150	1682	468	21.77	113.38	4127888.3	23514.3
K139_PR020_CD3	peri-tumoural_immune	peri-tumoural_immune	Fibrosis	Geometry	1703.8	4437.2	1913	1506	407	21.28	111.77	3641393.9	26773
K139_PR020_CD3	aggregates	aggregates	Image	Geometry	1373.8	2219.8	22225	16672	5553	24.99	912.73	6083973.2	25530.7
K139_PR020_CD3	Tissue_area	Tissue_area	Image	Geometry	1520.2	3092.2	24375	18354	6021	24.7	589.61	10211861.6	21741.1
K139_PR021_CD3	Tissue_area	Tissue_area	Image	Geometry	1933.2	2418.4	45805	41199	4606	10.06	658.72	6992309.7	16639.1
K139_PR021_CD3	Fibrosis	Fibrosis	Tissue_area	Geometry	1831.1	2496.9	3005	2592	413	13.74	193.21	2137536.5	13393.5
K139_PR021_CD3	peri-tumoural_immune	peri-tumoural_immune	Fibrosis	Geometry	1835.3	2496.5	2988	2577	411	13.76	193.41	2124965.5	13579.3
K139_PR021_CD3	tumour_immune	tumour_immune	Image	Geometry	1978.1	2383.8	42800	38607	4193	9.797	863.69	4854773.2	24230.9
K139_PR021_CD3	aggregates	aggregates	Image	Geometry	1978.1	2383.8	42800	38607	4193	9.797	863.69	4854773.2	24230.9
K139_PR022_CD3	Tissue_area	Tissue_area	Image	Geometry	2114.4	2185.4	63548	46832	16716	26.3	2643.4	6323774.5	12728.4
