Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Num Detections	Num Negative	Num Positive	Positive %	Num Positive per mm^2	Area µm^2	Perimeter µm
K446_PR007_CD3	Tissue_area	Tissue_area	Image	Geometry	1074.8	1756.3	42909	42342	567	1.321	123.59	4587609.2	11828.6
K446_PR007_CD3	peri-tumoural_immune	peri-tumoural_immune	Tissue_area	Geometry	950.37	2834.2	1034	1023	11	1.064	15.42	713574	7061.2
K446_PR007_CD3	tumour_immune	tumour_immune	Image	Geometry	1097.7	1557.8	41875	41319	556	1.328	143.52	3874035.2	10782.7
K446_PR007_CD3	diffuse	diffuse	Image	Geometry	1097.7	1557.8	41875	41319	556	1.328	143.52	3874035.2	10782.7
K446_PR007_CD3	Fibrosis	Fibrosis	Image	Geometry	950.37	2834.2	1034	1023	11	1.064	15.42	713574	7061.2
K446_PR008_CD3	Tissue_area	Tissue_area	Image	Geometry	1323.5	1834.7	12609	12446	163	1.293	40.4	4034204.1	11863.7
K446_PR008_CD3	tumour_immune	tumour_immune	Tissue_area	Geometry	1185.7	1936.6	3557	3512	45	1.265	75.77	593873.7	10875.6
K446_PR008_CD3	Fibrosis	Fibrosis	Image	Geometry	1347.3	1817.1	9052	8934	118	1.304	34.3	3440330.4	22739.3
K446_PR008_CD3	peri-tumoural_immune	peri-tumoural_immune	Fibrosis	Geometry	1259.5	1971.2	7448	7370	78	1.047	29.12	2678857.6	20349
K446_PR008_CD3	diffuse	diffuse	Image	Geometry	1185.7	1936.6	3557	3512	45	1.265	75.77	593873.7	10875.6
K446_PR010_CD3	Tissue_area	Tissue_area	Image	Polygon	1544.6	2619.6	76287	75370	917	1.202	127.39	7198422.6	11564.3
K446_PR010_CD3	peri-tumoural_immune	peri-tumoural_immune	Tissue_area	Polygon	1773.3	1106.4	646	635	11	1.703	14.32	768260.2	7361.8
K446_PR010_CD3	tumour_immune	tumour_immune	Image	Geometry	1517.2	2800.4	75641	74735	906	1.198	140.9	6430162.3	15015.6
K446_PR010_CD3	diffuse	diffuse	Image	Geometry	1517.2	2800.4	75641	74735	906	1.198	140.9	6430162.3	15015.6
K446_PR010_CD3	Fibrosis	Fibrosis	Image	Polygon	1773.3	1106.4	646	635	11	1.703	14.32	768260.2	7361.8
K446_PR011_CD3	Tissue_area	Tissue_area	Image	Polygon	1570.9	2418.5	60904	57967	2937	4.822	326.89	8984664.2	15088.9
K446_PR011_CD3	peri-tumoural_immune	peri-tumoural_immune	Tissue_area	Geometry	1637.3	1439.4	2333	2277	56	2.4	23.27	2406935.4	19011.6
K446_PR011_CD3	tumour_immune	tumour_immune	Image	Geometry	1546.6	2776.8	58571	55690	2881	4.919	437.99	6577728.8	25052
K446_PR011_CD3	diffuse	diffuse	Image	Geometry	1546.6	2776.8	58571	55690	2881	4.919	437.99	6577728.8	25052
K446_PR011_CD3	Fibrosis	Fibrosis	Image	Geometry	1637.3	1439.4	2333	2277	56	2.4	23.27	2406935.4	19011.6
K446_PR012_CD3	Tissue_area	Tissue_area	Image	Geometry	1911.9	1852.7	68435	67848	587	0.8577	81.86	7170928.8	19285.7
K446_PR012_CD3	peri-tumoural_immune	peri-tumoural_immune	Tissue_area	Geometry	2415.3	1382.9	1192	1165	27	2.265	24.83	1087377.1	13990.6
K446_PR012_CD3	tumour_immune	tumour_immune	Image	Geometry	1822.9	1936.4	67247	66686	561	0.8342	92.16	6087026.8	28277.1
K446_PR012_CD3	diffuse	diffuse	Image	Geometry	1822.9	1936.4	67247	66686	561	0.8342	92.16	6087026.8	28277.1
K446_PR012_CD3	Fibrosis	Fibrosis	Image	Geometry	2415.3	1382.9	1192	1165	27	2.265	24.83	1087377.1	13990.6
K446_PR025_CD3	tumour_immune	tumour_immune	Image	Polygon	1887.3	1914.4	113122	112356	766	0.6771	76.75	9980577.7	12389.4
K446_PR025_CD3	Tissue_area	Tissue_area	Image	Polygon	1887.3	1914.4	113122	112356	766	0.6771	76.75	9980577.7	12389.4
K446_PR025_CD3	diffuse	diffuse	Image	Polygon	1887.3	1914.4	113122	112356	766	0.6771	76.75	9980577.7	12389.4
K446_PR026_CD3	Tissue_area	Tissue_area	Image	Polygon	1633.8	3149.9	14867	14726	141	0.9484	14.79	9533400	24782.2
K446_PR026_CD3	diffuse	diffuse	Tissue_area	Geometry	1729.8	2267.8	3191	3142	49	1.536	37.55	1304843.3	18969.1
K446_PR026_CD3	peri-tumoural_immune	peri-tumoural_immune	Tissue_area	Geometry	1695.5	2534.9	5376	5316	60	1.116	16.49	3639203.3	26410.6
K446_PR026_CD3	Necrosis	Necrosis	Image	Geometry	1618.4	3289.3	11676	11584	92	0.7879	11.17	8235917.9	30426.6
K446_PR026_CD3	tumour_immune	tumour_immune	Image	Geometry	1729.8	2267.8	3191	3142	49	1.536	37.55	1304843.3	18969.1
K446_PR027_CD3	Tissue_area	Tissue_area	Image	Polygon	3396.5	3886.3	104943	103972	971	0.9253	34.12	28460821.9	28784.8
K446_PR027_CD3	diffuse	diffuse	Tissue_area	Geometry	4070.9	3427.1	51094	50720	374	0.732	30.65	12203425.1	60545.2
K446_PR027_CD3	Necrosis	Necrosis	Image	Geometry	2895.6	4235.8	53850	53253	597	1.109	36.61	16305712.9	62684.1
K446_PR027_CD3	peri-tumoural_immune	peri-tumoural_immune	Necrosis	Geometry	2944.3	4235.5	43277	42777	500	1.155	38.34	13042514.2	68084.5
K446_PR027_CD3	tumour_immune	tumour_immune	Image	Geometry	4070.9	3427.1	51094	50720	374	0.732	30.65	12203425.1	60545.2
