Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Num Detections	Num Negative	Num Positive	Positive %	Num Positive per mm^2	Area µm^2	Perimeter µm
K163_PR001_CD3 	Tissue_area	Tissue_area	Image	Polygon	999.21	1529.9	9588	7780	1808	18.86	590.89	3059800	6642.7
K163_PR001_CD3 	artefact	artefact	Tissue_area	Geometry	1221.3	1894.9	562	454	108	19.22	73.83	1462894.4	8475.8
K163_PR001_CD3 	Normal kidney	Normal kidney	Image	Geometry	795.78	1195.6	9026	7326	1700	18.83	1064.6	1596905.5	7291.5
K163_PR002_CD3 	Tissue_area	Tissue_area	Image	Polygon	1341.1	1464.2	10809	9337	1472	13.62	404.74	3636888.8	8110.6
K163_PR002_CD3 	Fibrosis	Fibrosis	Tissue_area	Geometry	1155	1160.8	3785	3603	182	4.808	81.46	2234116.9	9132.1
K163_PR002_CD3 	peri-tumoural_immune	peri-tumoural_immune	Fibrosis	Geometry	1324.9	1372.4	1946	1831	115	5.91	96.84	1187519.9	7456.3
K163_PR002_CD3 	tumour_immune	tumour_immune	Image	Polygon	1637.7	1945	7023	5734	1289	18.35	922.43	1397390.1	6717.5
K163_PR002_CD3 	aggregates	aggregates	Image	Polygon	1637.7	1945	7023	5734	1289	18.35	922.43	1397390.1	6717.5
K163_PR004_CD3 	Tissue_area	Tissue_area	Image	Polygon	996.73	1313.8	13085	11562	1523	11.64	822.43	1851822.2	6809.7
K163_PR004_CD3 	tumour_immune	tumour_immune	Image	Polygon	996.73	1313.8	13085	11562	1523	11.64	822.43	1851822.2	6809.7
K163_PR004_CD3 	aggregates	aggregates	Image	Polygon	996.73	1313.8	13085	11562	1523	11.64	822.43	1851822.2	6809.7
K163_PR007_CD3	Tissue_area	Tissue_area	Image	Polygon	1298.4	1199.5	15865	13119	2746	17.31	945.24	2905088.9	6468.3
K163_PR007_CD3	tumour_immune	tumour_immune	Image	Polygon	1298.4	1199.5	15865	13119	2746	17.31	945.24	2905088.9	6468.3
K163_PR007_CD3	diffuse	diffuse	Image	Polygon	1298.4	1199.5	15865	13119	2746	17.31	945.24	2905088.9	6468.3
K163_PR008_CD3	Tissue_area	Tissue_area	Image	Geometry	1746.8	1418.6	18324	15195	3129	17.08	748.13	4182444.1	15384
K163_PR008_CD3	Fibrosis	Fibrosis	Tissue_area	Geometry	2696.2	2209	3786	2957	829	21.9	563.92	1470066.4	8915.8
K163_PR008_CD3	tumour_immune	tumour_immune	Image	Polygon	1232.3	990.13	14538	12238	2300	15.82	847.96	2712377.7	6468.1
K163_PR008_CD3	aggregates	aggregates	Image	Polygon	1232.3	990.13	14538	12238	2300	15.82	847.96	2712377.7	6468.1
K163_PR008_CD3	peri-tumoural_immune	peri-tumoural_immune	Image	Geometry	2207.3	2218	454	366	88	19.38	381.23	230833.4	3615.6
K163_PR009_CD3	Tissue_area	Tissue_area	Image	Polygon	1042.6	1269.8	18763	16463	2300	12.26	670.62	3429666.6	6885.2
K163_PR009_CD3	tumour_immune	tumour_immune	Image	Polygon	1042.6	1269.8	18763	16463	2300	12.26	670.62	3429666.6	6885.2
K163_PR009_CD3	aggregates	aggregates	Image	Polygon	1042.6	1269.8	18763	16463	2300	12.26	670.62	3429666.6	6885.2
K163_PR010_CD3	Tissue_area	Tissue_area	Image	Polygon	972.42	1418.1	19658	17136	2522	12.83	885.13	2849288.8	8143.2
K163_PR010_CD3	tumour_immune	tumour_immune	Image	Polygon	972.42	1418.1	19658	17136	2522	12.83	885.13	2849288.8	8143.2
K163_PR010_CD3	aggregates	aggregates	Image	Polygon	972.42	1418.1	19658	17136	2522	12.83	885.13	2849288.8	8143.2
K163_PR011_CD3	Tissue_area	Tissue_area	Image	Geometry	1341.9	1600.3	9296	7823	1473	15.85	702.11	2097955	16388.5
