Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Num Detections	Num Negative	Num Positive	Positive %	Num Positive per mm^2	Area µm^2	Perimeter µm
K234_PR006_CD3	Tissue_area	Tissue_area	Image	Geometry	2624.9	3050.3	132212	117224	14988	11.34	1058.9	14154712.5	67762.5
K234_PR006_CD3	tumour_immune	tumour_immune	Image	Geometry	2624.9	3050.3	132212	117224	14988	11.34	1058.9	14154712.5	67762.5
K234_PR006_CD3	diffuse	diffuse	Image	Geometry	2624.9	3050.3	132212	117224	14988	11.34	1058.9	14154712.5	67762.5
K234_PR007_CD3	tumour_immune	tumour_immune	Image	Geometry	2192.3	2119	34582	24085	10497	30.35	1737.7	6040782.9	29834.5
K234_PR007_CD3	Fibrosis	Fibrosis	Image	Geometry	3064.3	2163.4	10713	7101	3612	33.72	1027.1	3516548.8	17537.5
K234_PR007_CD3	peri-tumoural_immune	peri-tumoural_immune	Fibrosis	Geometry	3056.5	2122.7	10286	6757	3529	34.31	1048.2	3366590.7	18804.9
K234_PR007_CD3	hot spots	hot spots	Image	Geometry	2192.3	2119	34582	24085	10497	30.35	1737.7	6040782.9	29834.5
K234_PR007_CD3	Tissue_area	Tissue_area	Image	Geometry	2513.1	2135.3	45295	31186	14109	31.15	1476.2	9557331.7	23672.1
K234_PR008_CD3	Tissue_area	Tissue_area	Image	Polygon	1926.4	2976.9	117905	91689	26216	22.23	1917.4	13672666.6	21286.3
K234_PR008_CD3	Fibrosis	Fibrosis	Tissue_area	Geometry	2636.1	2819.1	12507	7294	5213	41.68	1722.9	3025675.7	17071.8
K234_PR008_CD3	peri-tumoural_immune	peri-tumoural_immune	Fibrosis	Geometry	2563.4	2725.5	10824	6777	4047	37.39	1486	2723496.9	18073.1
K234_PR008_CD3	tumour_immune	tumour_immune	Image	Geometry	1725.3	3021.9	105399	84396	21003	19.93	1972	10650794	31714.2
K234_PR008_CD3	aggregates	aggregates	Image	Geometry	1725.3	3021.9	105399	84396	21003	19.93	1972	10650794	31714.2
